question_id,question_name,polling_response,demographic_category,demographic_variable,values,total_counts,response_type,question_type,question_name_preamble,polling_response_coded
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Total,,0.71,1000,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,2024 Presidential Vote,Trump,0.84,420,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,2024 Presidential Vote,Harris,0.58,405,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,2024 Presidential Vote,Other,0.66,175,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Party Affiliation,Republican,0.81,358,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Party Affiliation,Independent,0.7,299,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Party Affiliation,Democrat,0.61,344,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Systems-Impacted Status,Any Impact,0.75,689,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Systems-Impacted Status,Personally Impacted,0.76,134,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Systems-Impacted Status,Personally Incarcerated,0.78,93,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Systems-Impacted Status,Personally on Probation,0.8,106,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Systems-Impacted Status,Knows Someone Incarcerated,0.75,632,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Systems-Impacted Status,Knows Someone on Probation,0.77,571,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Age,18-34,0.62,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Age,35-49,0.65,240,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Age,50-64,0.8,235,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Age,65,0.75,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Gender,Male,0.71,478,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Gender,Female,0.71,518,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Race/Ethnicity,White,0.71,660,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Race/Ethnicity,Hispanic,0.74,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Race/Ethnicity,Black,0.72,115,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Type of Residential Area,Urban,0.69,248,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Type of Residential Area,Suburban,0.7,425,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Type of Residential Area,Rural,0.75,272,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Income,40k,0.72,215,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Income,40-80k,0.71,261,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Income,80-150k,0.77,259,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Strongly Agree,Income,150k,0.6,184,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",5
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Total,,0.19,1000,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,2024 Presidential Vote,Trump,0.1,420,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,2024 Presidential Vote,Harris,0.28,405,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,2024 Presidential Vote,Other,0.22,175,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Party Affiliation,Republican,0.13,358,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Party Affiliation,Independent,0.22,299,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Party Affiliation,Democrat,0.24,344,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Systems-Impacted Status,Any Impact,0.16,689,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Systems-Impacted Status,Personally Impacted,0.14,134,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Systems-Impacted Status,Personally Incarcerated,0.14,93,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Systems-Impacted Status,Personally on Probation,0.09,106,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Systems-Impacted Status,Knows Someone Incarcerated,0.16,632,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Systems-Impacted Status,Knows Someone on Probation,0.15,571,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
20,Any criminal justice reform must put public safety/community safety as its top priority,Somewhat Agree,Age,18-34,0.26,250,agree_disagree,criminal_justice_reforms,"Now, I am going to read you a series of statements about the criminal justice system. For each, please tell me whether you agree or disagree with them.",4
